query	code	rev	size	ac	org	taxid	NCBI_DNA	NCBI_AA	ip	pfam
A3D6Z4	A3D6Z4_SHEB5	Unreviewed	232	A3D6Z4	Shewanella baltica (strain OS155 / ATCC BAA-1091).	325240	CP000563	ABN62507.1	IPR011078	PF01168
Q145H1	Q145H1_BURXL	Unreviewed	232	Q145H1	Burkholderia xenovorans (strain LB400).	266265	CP000270	ABE29018.1	IPR011078	PF01168
A8KW85	A8KW85_BURPS	Unreviewed	232	A8KW85	Burkholderia pseudomallei Pasteur 52237.	331978	CH899755	EDO94915.1	IPR011078	PF01168
C0XZI4	C0XZI4_BURPS	Unreviewed	232	C0XZI4	Burkholderia pseudomallei Pakistan 9.	595498	ACKA01000015	EEH29657.1	IPR011078	PF01168
A4MEU3	A4MEU3_BURPS	Unreviewed	232	A4MEU3	Burkholderia pseudomallei 305.	425067	AAYX01000005	EBA48226.1	IPR011078	PF01168
A3ERR1	A3ERR1_9BACT	Unreviewed	230	A3ERR1	Leptospirillum rubarum.	419542	DS180870	EAY57389.1	IPR011078	PF01168
A0KUG0	A0KUG0_SHESA	Unreviewed	238	A0KUG0	Shewanella sp. (strain ANA-3).	94122	CP000469	ABK47429.1	IPR011078	PF01168
A5J8Y8	A5J8Y8_BURMA	Unreviewed	245	A5J8Y8	Burkholderia mallei FMH.	334802	DS264097	EDK54004.1	IPR011078	PF01168
A1BED1	A1BED1_CHLPD	Unreviewed	229	A1BED1	Chlorobium phaeobacteroides (strain DSM 266).	290317	CP000492	ABL64758.1	IPR011078	PF01168
A1RHM2	A1RHM2_SHESW	Unreviewed	232	A1RHM2	Shewanella sp. (strain W3-18-1).	351745	CP000503	ABM24167.1	IPR011078	PF01168
B2SXA2	B2SXA2_BURPP	Unreviewed	232	B2SXA2	Burkholderia phytofirmans (strain DSM 17436 / PsJN).	398527	CP001052	ACD15141.1	IPR011078	PF01168
B3EEN1	B3EEN1_CHLL2	Unreviewed	229	B3EEN1	Chlorobium limicola (strain DSM 245 / NBRC 103803).	290315	CP001097	ACD90841.1	IPR011078	PF01168
C5CN54	C5CN54_VARPS	Unreviewed	232	C5CN54	Variovorax paradoxus (strain S110).	543728	CP001635	ACS21417.1	IPR011078	PF01168
C0YWG9	C0YWG9_LACRE	Unreviewed	235	C0YWG9	Lactobacillus reuteri MM2-3.	585517	ACLB01000005	EEI10057.1	IPR011078	PF01168
B1FWG3	B1FWG3_9BURK	Unreviewed	232	B1FWG3	Burkholderia graminis C4D1M.	396598	ABLD01000003	EDT11739.1	IPR011078	PF01168
Q46XH1	Q46XH1_RALEJ	Unreviewed	229	Q46XH1	Ralstonia eutropha (strain JMP134) (Alcaligenes eutrophus).	264198	CP000090	AAZ62162.1	IPR011078	PF01168
A2SMC3	A2SMC3_METPP	Unreviewed	238	A2SMC3	Methylibium petroleiphilum (strain PM1).	420662	CP000555	ABM96712.1	IPR011078	PF01168
B1FMP6	B1FMP6_9BURK	Unreviewed	232	B1FMP6	Burkholderia ambifaria IOP40-10.	396596	ABLC01000204	EDT01170.1	IPR011078	PF01168
C2F210	C2F210_LACRE	Unreviewed	235	C2F210	Lactobacillus reuteri SD2112.	491077	ACGW01000280	EEJ91569.1	IPR011078	PF01168
B1XXB6	B1XXB6_LEPCP	Unreviewed	229	B1XXB6	discophora (strain SP-6)).	395495	CP001013	ACB33897.1	IPR011078	PF01168
Q63R28	Q63R28_BURPS	Unreviewed	232	Q63R28	Burkholderia pseudomallei (Pseudomonas pseudomallei).	28450	BX571965	CAH36856.1	IPR011078	PF01168
A3NYZ9	A3NYZ9_BURP0	Unreviewed	232	A3NYZ9	Burkholderia pseudomallei (strain 1106a).	357348	CP000572	ABN88955.1	IPR011078	PF01168
A2V095	A2V095_SHEPU	Unreviewed	232	A2V095	Shewanella putrefaciens 200.	399804	AAWY01000015	EAY53630.1	IPR011078	PF01168
Q0TDQ0	Q0TDQ0_ECOL5	Unreviewed	234	Q0TDQ0	Escherichia coli O6:K15:H31 (strain 536 / UPEC).	362663	CP000247	ABG70929.1	IPR011078	PF01168
B3HRI7	B3HRI7_ECOLX	Unreviewed	234	B3HRI7	Escherichia coli F11.	340197	AAJU02000009	EDV67541.1	IPR011078	PF01168
C2BA39										
Q5PML2	Q5PML2_SALPA	Unreviewed	234	Q5PML2	Salmonella paratyphi A.	54388	CP000026	AAV78801.1	IPR011078	PF01168
C2BNJ4	C2BNJ4_9CORY	Unreviewed	232	C2BNJ4	Corynebacterium pseudogenitalium ATCC 33035.	525264	ABYQ01000252	EEJ37992.1	IPR011078	PF01168
B5P4D2	B5P4D2_SALET	Unreviewed	234	B5P4D2	Salmonella enterica subsp. enterica serovar Heidelberg str. SL486.	454164	ABEL01000005	EDZ24958.1	IPR011078	PF01168
B6ZZB0	B6ZZB0_ECO57	Unreviewed	234	B6ZZB0	Escherichia coli O157:H7 str. TW14588.	502346	ABKY02000002	EEC27872.1	IPR011078	PF01168
P67081	YGGS_ECOL6	Reviewed	234	P67081	Escherichia coli O6.	217992	AE014075	AAN81985.1	IPR011078	PF01168
P67082	YGGS_ECO57	Reviewed	234	P67082	Escherichia coli O157:H7.	83334	BA000007	BAB37250.1	IPR011078	PF01168
B1LDG0	B1LDG0_ECOSM	Unreviewed	234	B1LDG0	Escherichia coli (strain SMS-3-5 / SECEC).	439855	CP000970	ACB19279.1	IPR011078	PF01168
B4THI5	B4THI5_SALHS	Unreviewed	234	B4THI5	Salmonella heidelberg (strain SL476).	454169	CP001120	ACF68110.1	IPR011078	PF01168
B3BS31	B3BS31_ECO57	Unreviewed	234	B3BS31	Escherichia coli O157:H7 str. EC508.	478007	ABHW01000002	EDU98058.1	IPR011078	PF01168
B1IT56	B1IT56_ECOLC	Unreviewed	234	B1IT56	Escherichia coli (strain ATCC 8739 / DSM 1576 / Crooks).	481805	CP000946	ACA76435.1	IPR011078	PF01168
B7LYY1	B7LYY1_ECO8A	Unreviewed	234	B7LYY1	Escherichia coli O8 (strain IAI1).	585034	CU928160	CAQ99899.1	IPR011078	PF01168
P67080	YGGS_ECOLI	Reviewed	234	P67080	Escherichia coli (strain K12).	83333	AP009048	BAE77014.1	IPR011078	PF01168
B3Y165	B3Y165_ECO11	Unreviewed	234	B3Y165	Escherichia coli O111:H-.	168927	AB426060	BAG66689.1	IPR011078	PF01168
C1NDG1	C1NDG1_9ESCH	Unreviewed	234	C1NDG1	Escherichia sp. 1_1_43.	457400	GG665830	EEH71645.1	IPR011078	PF01168
B3WHJ0	B3WHJ0_ECOLX	Unreviewed	234	B3WHJ0	Escherichia coli B171.	344601	AAJX02000002	EDX32007.1	IPR011078	PF01168
B3HG12	B3HG12_ECOLX	Unreviewed	234	B3HG12	Escherichia coli B7A.	340184	AAJT02000042	EDV61756.1	IPR011078	PF01168
A7MJR4	A7MJR4_ENTS8	Unreviewed	235	A7MJR4	Enterobacter sakazakii (strain ATCC BAA-894).	290339	CP000783	ABU75687.1	IPR011078	PF01168
B3BDT7	B3BDT7_ECO57	Unreviewed	234	B3BDT7	Escherichia coli O157:H7 str. EC869.	478008	ABHU01000003	EDU92482.1	IPR011078	PF01168
B3IFM6	B3IFM6_ECOLX	Unreviewed	234	B3IFM6	Escherichia coli E110019.	340186	AAJW02000002	EDV89855.1	IPR011078	PF01168
A4WE89	A4WE89_ENT38	Unreviewed	233	A4WE89	Enterobacter sp. (strain 638).	399742	CP000653	ABP62019.1	IPR011078	PF01168
B2P1G2	B2P1G2_ECO57	Unreviewed	234	B2P1G2	Escherichia coli O157:H7 str. EC4113.	444452	ABHP01000003	EDU56038.1	IPR011078	PF01168
B5YQE9	B5YQE9_ECO5E	Unreviewed	234	B5YQE9	Escherichia coli O157:H7 (strain EC4115 / EHEC).	444450	CP001164	ACI34701.1	IPR011078	PF01168
Q83JS2	Q83JS2_SHIFL	Unreviewed	234	Q83JS2	Shigella flexneri.	623	AE014073	AAP18248.1	IPR011078	PF01168
B5NWY3	B5NWY3_SALET	Unreviewed	234	B5NWY3	Salmonella enterica subsp. enterica serovar Kentucky str. CDC 191.	454231	ABEI01000031	EDZ18455.1	IPR011078	PF01168
Q0T0U1	Q0T0U1_SHIF8	Unreviewed	234	Q0T0U1	Shigella flexneri serotype 5b (strain 8401).	373384	CP000266	ABF05074.1	IPR011078	PF01168
B7MZQ0	B7MZQ0_ECO81	Unreviewed	234	B7MZQ0	Escherichia coli O81 (strain ED1a).	585397	CU928162	CAR09568.2	IPR011078	PF01168
A8A493	A8A493_ECOHS	Unreviewed	234	A8A493	Escherichia coli O9:H4 (strain HS).	331112	CP000802	ABV07347.1	IPR011078	PF01168
B6FHL4										
B2U0X1	B2U0X1_SHIB3	Unreviewed	234	B2U0X1	Shigella boydii serotype 18 (strain CDC 3083-94 / BS512).	344609	CP001063	ACD07747.1	IPR011078	PF01168
B3AIN3	B3AIN3_ECO57	Unreviewed	234	B3AIN3	Escherichia coli O157:H7 str. EC4486.	478005	ABHS01000003	EDU82168.1	IPR011078	PF01168
Q31WL3	Q31WL3_SHIBS	Unreviewed	234	Q31WL3	Shigella boydii serotype 4 (strain Sb227).	300268	CP000036	ABB67546.1	IPR011078	PF01168
B6FYW0	B6FYW0_9CLOT	Unreviewed	233	B6FYW0	Clostridium hiranonis DSM 13275.	500633	ABWP01000045	EEA85341.1	IPR011078	PF01168
C1HHG7	C1HHG7_9ESCH	Unreviewed	234	C1HHG7	Escherichia sp. 3_2_53FAA.	469598	DS999460	EEH85696.1	IPR011078	PF01168
B3I4Y0	B3I4Y0_ECOLX	Unreviewed	234	B3I4Y0	Escherichia coli E22.	340185	AAJV02000009	EDV83357.1	IPR011078	PF01168
C1MB98	C1MB98_9ENTR	Unreviewed	234	C1MB98	Citrobacter sp. 30_2.	469595	GG657367	EEH94405.1	IPR011078	PF01168
Q1R776	Q1R776_ECOUT	Unreviewed	234	Q1R776	Escherichia coli (strain UTI89 / UPEC).	364106	CP000243	ABE08788.1	IPR011078	PF01168
B3YKY7	B3YKY7_SALET	Unreviewed	234	B3YKY7	Salmonella enterica subsp. enterica serovar Kentucky str. CVM29188.	439842	ABAK02000001	EDX44247.1	IPR011078	PF01168
A1AFD7	A1AFD7_ECOK1	Unreviewed	234	A1AFD7	Escherichia coli O1:K1 / APEC.	405955	CP000468	ABJ02377.1	IPR011078	PF01168
B2NCJ2	B2NCJ2_ECOLX	Unreviewed	234	B2NCJ2	Escherichia coli 53638.	344610	AAKB02000001	EDU63452.1	IPR011078	PF01168
B6I6X9	B6I6X9_ECOSE	Unreviewed	234	B6I6X9	Escherichia coli (strain SE11).	409438	AP009240	BAG78743.1	IPR011078	PF01168
B7LPR8	B7LPR8_ESCF3	Unreviewed	234	B7LPR8	Escherichia fergusonii (strain ATCC 35469 / DSM 13698 / CDC 0568-73).	585054	CU928158	CAQ90383.1	IPR011078	PF01168
B7UHZ8	B7UHZ8_ECO27	Unreviewed	234	B7UHZ8	Escherichia coli O127:H6 (strain E2348/69 / EPEC).	574521	FM180568	CAS10752.1	IPR011078	PF01168
A6F1X7	A6F1X7_9ALTE	Unreviewed	230	A6F1X7	Marinobacter algicola DG893.	443152	ABCP01000021	EDM47190.1	IPR011078	PF01168
B1XFB1	B1XFB1_ECODH	Unreviewed	234	B1XFB1	Escherichia coli (strain K12 / DH10B).	316385	CP000948	ACB04045.1	IPR011078	PF01168
C4W3T1										
A9MQS4	A9MQS4_SALAR	Unreviewed	234	A9MQS4	Salmonella arizonae (strain ATCC BAA-731 / CDC346-86 / RSK2980).	41514	CP000880	ABX24318.1	IPR011078	PF01168
A8APH1	A8APH1_CITK8	Unreviewed	234	A8APH1	Citrobacter koseri (strain ATCC BAA-895 / CDC 4225-83 / SGSC4696).	290338	CP000822	ABV15384.1	IPR011078	PF01168
C5C2K3	C5C2K3_BEUC1	Unreviewed	230	C5C2K3	Beutenbergia cavernae (strain ATCC BAA-8 / DSM 12333 / NBRC 16432).	471853	CP001618	ACQ79689.1	IPR011078	PF01168
B3AXZ3	B3AXZ3_ECO57	Unreviewed	234	B3AXZ3	Escherichia coli O157:H7 str. EC4501.	478006	ABHT01000002	EDU87633.1	IPR011078	PF01168
Q3YXS0	Q3YXS0_SHISS	Unreviewed	234	Q3YXS0	Shigella sonnei (strain Ss046).	300269	CP000038	AAZ89691.1	IPR011078	PF01168
A0LPE6	A0LPE6_SYNFM	Unreviewed	234	A0LPE6	Syntrophobacter fumaroxidans (strain DSM 10017 / MPOB).	335543	CP000478	ABK19298.1	IPR011078	PF01168
B7LFL4	B7LFL4_ECO55	Unreviewed	234	B7LFL4	Escherichia coli (strain 55989 / EAEC).	585055	CU928145	CAU99241.1	IPR011078	PF01168
B3A2Y0	B3A2Y0_ECO57	Unreviewed	234	B3A2Y0	Escherichia coli O157:H7 str. EC4401.	478004	ABHR01000002	EDU76820.1	IPR011078	PF01168
B7NI14	B7NI14_ECO7I	Unreviewed	234	B7NI14	Escherichia coli O7:K1 (strain IAI39 / ExPEC).	585057	CU928164	CAR19486.1	IPR011078	PF01168
A7ZR75	A7ZR75_ECO24	Unreviewed	234	A7ZR75	Escherichia coli O139:H28 (strain E24377A / ETEC).	331111	CP000800	ABV17692.1	IPR011078	PF01168
B2PMM7	B2PMM7_ECO57	Unreviewed	234	B2PMM7	Escherichia coli O157:H7 str. EC4076.	444453	ABHQ01000011	EDU69507.1	IPR011078	PF01168
C5A0M0	C5A0M0_ECOBW	Unreviewed	234	C5A0M0	Escherichia coli (strain K12 / MC4100 / BW2952).	595496	CP001396	ACR64355.1	IPR011078	PF01168
C3SV52	C3SV52_ECOLX	Unreviewed	234	C3SV52	Escherichia coli.	562	EU895784	ACI78345.1	IPR011078	PF01168
B5F5M5	B5F5M5_SALA4	Unreviewed	234	B5F5M5	Salmonella agona (strain SL483).	454166	CP001138	ACH48806.1	IPR011078	PF01168
A4SDJ7	A4SDJ7_PROVI	Unreviewed	232	A4SDJ7	(strain DSM 265)).	290318	CP000607	ABP36556.1	IPR011078	PF01168
C0QER6	C0QER6_DESAH	Unreviewed	230	C0QER6	Desulfobacterium autotrophicum (strain ATCC 43914 / DSM 3382 / HRM2).	177437	CP001087	ACN15408.1	IPR011078	PF01168
B2NN60	B2NN60_ECO57	Unreviewed	234	B2NN60	Escherichia coli O157:H7 str. EC4196.	444451	ABHO01000003	EDU34622.1	IPR011078	PF01168
Q8Z3U8	Q8Z3U8_SALTI	Unreviewed	234	Q8Z3U8	Salmonella typhi.	90370	AL627277	CAD02924.1	IPR011078	PF01168
Q67Q31	Q67Q31_SYMTH	Unreviewed	230	Q67Q31	Symbiobacterium thermophilum.	2734	AP006840	BAD40212.1	IPR011078	PF01168
B3XBJ6	B3XBJ6_ECOLX	Unreviewed	234	B3XBJ6	Escherichia coli 101-1.	358709	AAMK02000004	EDX40203.1	IPR011078	PF01168
B3WX25	B3WX25_SHIDY	Unreviewed	234	B3WX25	Shigella dysenteriae 1012.	358708	AAMJ02000003	EDX36106.1	IPR011078	PF01168
B7N7K4	B7N7K4_ECOLU	Unreviewed	234	B7N7K4	Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC).	585056	CU928163	CAR14466.1	IPR011078	PF01168
B5NC70	B5NC70_SALET	Unreviewed	234	B5NC70	GA_MM04042433.	454167	ABEH02000003	EDZ07739.1	IPR011078	PF01168
B5BFQ7	B5BFQ7_SALPK	Unreviewed	234	B5BFQ7	Salmonella paratyphi A (strain AKU_12601).	554290	FM200053	CAR61003.1	IPR011078	PF01168
B7MMD9	B7MMD9_ECO45	Unreviewed	234	B7MMD9	Escherichia coli O45:K1 (strain S88 / ExPEC).	585035	CU928161	CAR04468.1	IPR011078	PF01168
Q32C20	Q32C20_SHIDS	Unreviewed	234	Q32C20	Shigella dysenteriae serotype 1 (strain Sd197).	300267	CP000034	ABB63136.1	IPR011078	PF01168
C2DXZ4	C2DXZ4_ECOLX	Unreviewed	234	C2DXZ4	Escherichia coli 83972.	525281	ACGN01000141	EEJ45241.1	IPR011078	PF01168
C3X627	C3X627_OXAFO	Unreviewed	239	C3X627	Oxalobacter formigenes HOxBLS.	556268	GG658151	EEO28663.1	IPR011078	PF01168
A5F9I2	A5F9I2_VIBC3	Unreviewed	236	A5F9I2	Vibrio cholerae serotype O1 (strain ATCC 39541 / Ogawa 395 / O395).	345073	CP001235	ACP08524.1	IPR011078	PF01168
A2PUV9	A2PUV9_VIBCH	Unreviewed	236	A2PUV9	Vibrio cholerae MZO-3.	412883	AAUU01000066	EAY40607.1	IPR011078	PF01168
A6FBQ1	A6FBQ1_9GAMM	Unreviewed	231	A6FBQ1	Moritella sp. PE36.	58051	ABCQ01000012	EDM67525.1	IPR011078	PF01168
A1F869	A1F869_VIBCH	Unreviewed	236	A1F869	Vibrio cholerae 2740-80.	412614	AAUT01000057	EAX57545.1	IPR011078	PF01168
C2IKE4	C2IKE4_VIBCH	Unreviewed	236	C2IKE4	Vibrio cholerae RC9.	593589	ACHX01000011	EEO09397.1	IPR011078	PF01168
A8GJ35	A8GJ35_SERP5	Unreviewed	235	A8GJ35	Serratia proteamaculans (strain 568).	399741	CP000826	ABV43125.1	IPR011078	PF01168
C2CE80	C2CE80_VIBCH	Unreviewed	236	C2CE80	Vibrio cholerae 12129(1).	592313	ACFQ01000012	EEN97564.1	IPR011078	PF01168
B1ZRU5	B1ZRU5_OPITP	Unreviewed	235	B1ZRU5	Opitutus terrae (strain DSM 11246 / PB90-1).	452637	CP001032	ACB73788.1	IPR011078	PF01168
C3NRH9	C3NRH9_VIBCJ	Unreviewed	236	C3NRH9	Vibrio cholerae serotype O1 (strain MJ-1236).	593588	CP001485	ACQ59323.1	IPR011078	PF01168
Q0I3T1	Q0I3T1_HAES1	Unreviewed	231	Q0I3T1	Haemophilus somnus (strain 129Pt) (Histophilus somni (strain 129Pt)).	205914	CP000436	ABI25490.1	IPR011078	PF01168
C3LRX8	C3LRX8_VIBCM	Unreviewed	236	C3LRX8	Vibrio cholerae serotype O1 (strain M66-2).	579112	CP001233	ACP04771.1	IPR011078	PF01168
A0KPB9	A0KPB9_AERHH	Unreviewed	233	A0KPB9	Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / NCIB 9240).	380703	CP000462	ABK37820.1	IPR011078	PF01168
Q6D121	Q6D121_ERWCT	Unreviewed	237	Q6D121	Erwinia carotovora subsp. atroseptica (Pectobacterium atrosepticum).	29471	BX950851	CAG76525.1	IPR011078	PF01168
C2JEF6	C2JEF6_VIBCH	Unreviewed	236	C2JEF6	Vibrio cholerae BX 330286.	593587	ACIA01000005	EEO20764.1	IPR011078	PF01168
A3GQI8	A3GQI8_VIBCH	Unreviewed	236	A3GQI8	Vibrio cholerae NCTC 8457.	417399	AAWD01000056	EAZ72899.1	IPR011078	PF01168
Q30BD0	Q30BD0_HAEAP	Unreviewed	234	Q30BD0	Haemophilus aphrophilus (Aggregatibacter aphrophilus).	732	DQ223272	ABB17984.1	IPR011078	PF01168
C2HTX7	C2HTX7_VIBCH	Unreviewed	236	C2HTX7	Vibrio cholerae bv. albensis VL426.	593585	ACHV01000001	EEO03750.1	IPR011078	PF01168
C3XCA6	C3XCA6_OXAFO	Unreviewed	236	C3XCA6	Oxalobacter formigenes OXCC13.	556269	GG658170	EEO30832.1	IPR011078	PF01168
C2M4N4	C2M4N4_CAPGI	Unreviewed	243	C2M4N4	Capnocytophaga gingivalis ATCC 33624.	553178	ACLQ01000016	EEK14813.1	IPR011078	PF01168
A6A5A7	A6A5A7_VIBCH	Unreviewed	236	A6A5A7	Vibrio cholerae MZO-2.	417398	AAWF01000036	EDM53877.1	IPR011078	PF01168
Q5E7S1	Q5E7S1_VIBF1	Unreviewed	236	Q5E7S1	Vibrio fischeri (strain ATCC 700601 / ES114).	312309	CP000020	AAW84925.1	IPR011078	PF01168
C4TWV4	C4TWV4_YERKR	Unreviewed	231	C4TWV4	Yersinia kristensenii ATCC 33638.	527012	ACCA01000013	EEP91286.1	IPR011078	PF01168
A4SRS0	A4SRS0_AERS4	Unreviewed	233	A4SRS0	Aeromonas salmonicida (strain A449).	382245	CP000644	ABO91592.1	IPR011078	PF01168
C2IMR7	C2IMR7_VIBCH	Unreviewed	236	C2IMR7	Vibrio cholerae TMA 21.	593590	ACHY01000007	EEO15365.1	IPR011078	PF01168
A6XXM0	A6XXM0_VIBCH	Unreviewed	236	A6XXM0	Vibrio cholerae AM-19226.	404974	DS265241	EDN14817.1	IPR011078	PF01168
C4LCM9	C4LCM9_TOLAT	Unreviewed	233	C4LCM9	Tolumonas auensis (strain DSM 9187 / TA4).	595494	CP001616	ACQ92593.1	IPR011078	PF01168
A1TY18	A1TY18_MARAV	Unreviewed	237	A1TY18	(Marinobacter hydrocarbonoclasticus (strain DSM 11845)).	351348	CP000514	ABM17637.1	IPR011078	PF01168
A3ELU2	A3ELU2_VIBCH	Unreviewed	236	A3ELU2	Vibrio cholerae V51.	345075	DS179739	EAZ49519.1	IPR011078	PF01168
Q2NRC3	Q2NRC3_SODGM	Unreviewed	231	Q2NRC3	Sodalis glossinidius (strain morsitans).	343509	AP008232	BAE75302.1	IPR011078	PF01168
A4G1Y0	A4G1Y0_HERAR	Unreviewed	234	A4G1Y0	Herminiimonas arsenicoxydans.	204773	CU207211	CAL60517.1	IPR011078	PF01168
A1EPY7	A1EPY7_VIBCH	Unreviewed	236	A1EPY7	Vibrio cholerae V52.	345076	AAKJ02000050	EAX61580.1	IPR011078	PF01168
Q6TP27	Q6TP27_AERHY	Unreviewed	233	Q6TP27	Aeromonas hydrophila.	644	AY391268	AAQ95748.1	IPR011078	PF01168
Q9KUQ4	Y461_VIBCH	Reviewed	236	Q9KUQ4	Vibrio cholerae.	666	AE003852	AAF93634.1	IPR011078	PF01168
B5F9S3	B5F9S3_VIBFM	Unreviewed	236	B5F9S3	Vibrio fischeri (strain MJ11).	388396	CP001139	ACH65388.1	IPR011078	PF01168
A6SUT4	A6SUT4_JANMA	Unreviewed	234	A6SUT4	Janthinobacterium sp. (strain Marseille) (Minibacterium massiliensis).	375286	CP000269	ABR88580.1	IPR011078	PF01168
Q87CI9	Q87CI9_XYLFT	Unreviewed	241	Q87CI9	Xylella fastidiosa (strain Temecula1 / ATCC 700964).	183190	AE009442	AAO28936.1	IPR011078	PF01168
A6AAH4	A6AAH4_VIBCH	Unreviewed	236	A6AAH4	Vibrio cholerae 623-39.	417397	AAWG01000008	EDL74245.1	IPR011078	PF01168
A2PLN9										
A6Y413	A6Y413_VIBCH	Unreviewed	236	A6Y413	Vibrio cholerae RC385.	345074	GG774557	EFH73851.1	IPR011078	PF01168
C4UXY9	C4UXY9_YERRO	Unreviewed	231	C4UXY9	Yersinia rohdei ATCC 43380.	527004	ACCD01000027	EEQ01723.1	IPR011078	PF01168
A1JPU2	A1JPU2_YERE8	Unreviewed	231	A1JPU2	Yersinia enterocolitica serotype O:8 / biotype 1B (strain 8081).	393305	AM286415	CAL13457.1	IPR011078	PF01168
A3H208	A3H208_VIBCH	Unreviewed	236	A3H208	Vibrio cholerae B33.	417400	ACHZ01000010	EEO18924.1	IPR011078	PF01168
A2PAE8	A2PAE8_VIBCH	Unreviewed	236	A2PAE8	Vibrio cholerae 1587.	412966	AAUR01000064	EAY33194.1	IPR011078	PF01168
C2I161	C2I161_VIBCH	Unreviewed	236	C2I161	Vibrio cholerae TM 11079-80.	593586	ACHW01000008	EEO08119.1	IPR011078	PF01168
A1HS99	A1HS99_9FIRM	Unreviewed	240	A1HS99	Thermosinus carboxydivorans Nor1.	401526	AAWL01000015	EAX47061.1	IPR011078	PF01168
Q1NS71	Q1NS71_9DELT	Unreviewed	232	Q1NS71	delta proteobacterium MLMS-1.	262489	AAQF01000062	EAT04530.1	IPR011078	PF01168
A1SZ27	A1SZ27_PSYIN	Unreviewed	232	A1SZ27	Psychromonas ingrahamii (strain 37).	357804	CP000510	ABM04742.1	IPR011078	PF01168
Q1NLD8	Q1NLD8_9DELT	Unreviewed	232	Q1NLD8	delta proteobacterium MLMS-1.	262489	AAQF01000225	EAT02518.1	IPR011078	PF01168
Q1ZI12	Q1ZI12_9GAMM	Unreviewed	232	Q1ZI12	Psychromonas sp. CNPT3.	314282	AAPG01000005	EAS39916.1	IPR011078	PF01168
C5F1F3	C5F1F3_9HELI	Unreviewed	359	C5F1F3	Helicobacter pullorum MIT 98-5489.	537972	DS990445	EEQ64105.1	IPR001608	PF01168
A0LDU9	A0LDU9_MAGSM	Unreviewed	235	A0LDU9	Magnetococcus sp. (strain MC-1).	156889	CP000471	ABK46142.1	IPR011078	PF01168
B8KCJ8	B8KCJ8_VIBPA	Unreviewed	237	B8KCJ8	Vibrio parahaemolyticus 16.	391586	DS999356	EED25483.1	IPR011078	PF01168
A3RTF2	A3RTF2_RALSO	Unreviewed	240	A3RTF2	Ralstonia solanacearum UW551.	342110	AAKL01000017	EAP73224.1	IPR011078	PF01168
B2UBU2	B2UBU2_RALPJ	Unreviewed	238	B2UBU2	Ralstonia pickettii (strain 12J).	402626	CP001068	ACD28042.1	IPR011078	PF01168
Q8XVZ2	Q8XVZ2_RALSO	Unreviewed	240	Q8XVZ2	Ralstonia solanacearum (Pseudomonas solanacearum).	305	AL646052	CAD16390.1	IPR011078	PF01168
B8J3Q0	B8J3Q0_DESDA	Unreviewed	237	B8J3Q0	Desulfovibrio desulfuricans (strain ATCC 27774 / DSM 6949).	525146	CP001358	ACL48285.1	IPR011078	PF01168
B5RW00	B5RW00_RALSO	Unreviewed	240	B5RW00	Ralstonia solanacearum (Pseudomonas solanacearum).	305	CU694390	CAQ17396.1	IPR011078	PF01168
B5SHR3	B5SHR3_RALSO	Unreviewed	240	B5SHR3	Ralstonia solanacearum IPO1609.	564066	CU914168	CAQ62585.1	IPR011078	PF01168
A7CDR6										
B9MBX7	B9MBX7_ACIET	Unreviewed	238	B9MBX7	Acidovorax ebreus (strain TPSY) (Diaphorobacter sp. (strain TPSY)).	535289	CP001392	ACM31897.1	IPR011078	PF01168
A1WII5	A1WII5_VEREI	Unreviewed	239	A1WII5	Verminephrobacter eiseniae (strain EF01-2).	391735	CP000542	ABM57442.1	IPR011078	PF01168
A1W348	A1W348_ACISJ	Unreviewed	238	A1W348	Acidovorax sp. (strain JS42).	232721	CP000539	ABM40673.1	IPR011078	PF01168
Q47XY9	Q47XY9_COLP3	Unreviewed	239	Q47XY9	psychroerythus).	167879	CP000083	AAZ28022.1	IPR011078	PF01168
C3XKJ6	C3XKJ6_9HELI	Unreviewed	360	C3XKJ6	Helicobacter winghamensis ATCC BAA-430.	556267	GG661973	EEO25535.1	IPR001608	PF01168
A4SZT3	A4SZT3_POLSQ	Unreviewed	241	A4SZT3	Polynucleobacter sp. (strain QLW-P1DMWA-1).	312153	CP000655	ABP34997.1	IPR011078	PF01168
B7WR84	B7WR84_COMTE	Unreviewed	243	B7WR84	Comamonas testosteroni KF-1.	399795	AAUJ02000001	EED65241.1	IPR011078	PF01168
A1TJV4	A1TJV4_ACIAC	Unreviewed	241	A1TJV4	Acidovorax avenae subsp. citrulli (strain AAC00-1).	397945	CP000512	ABM31242.1	IPR011078	PF01168
A9BSA0	A9BSA0_DELAS	Unreviewed	241	A9BSA0	Delftia acidovorans (strain DSM 14801 / SPH-1).	398578	CP000884	ABX33714.1	IPR011078	PF01168
Q12GI1	Q12GI1_POLSJ	Unreviewed	238	Q12GI1	Polaromonas sp. (strain JS666 / ATCC BAA-500).	296591	CP000316	ABE42361.1	IPR011078	PF01168
C0XS12	C0XS12_9CORY	Unreviewed	241	C0XS12	Corynebacterium lipophiloflavum DSM 44291.	525263	ACHJ01000109	EEI16971.1	IPR011078	PF01168
A7NQD4	A7NQD4_ROSCS	Unreviewed	240	A7NQD4	Roseiflexus castenholzii (strain DSM 13941 / HLO8).	383372	CP000804	ABU59780.1	IPR011078	PF01168
